zpid,date,price,event,agents
29782092,1/4/2019,"$749,000",Listed for sale,
29782092,10/1/2018,"$775,000",Listing removed,
29782092,9/7/2018,"$775,000",Listed for sale,
29782092,1/17/2018,"$185,000",Sold,
29781952,9/11/2018,"$1,399,999",Listed for sale,
29781952,5/6/2018,"$499,000",Listing removed,
29781952,5/4/2018,"$499,000",Listed for sale,
29781952,11/4/2009,"$585,000",Sold,
29781952,3/1/2008,"$575,000",Listing removed,
29781952,1/31/2008,"$575,000",Listed for sale,
29781952,1/3/2006,"$439,900",Sold,
