zpid,property taxes,year,change,tax assessment
29782092,"$2,763",2017,+5.8%,"$13,552"
29782092,"$2,560",2016,+0.1%,"$12,806"
29782092,"$2,560",2015,+1%,"$12,788"
29782092,"$1,322",2014,+5.8%,"$12,662"
29782092,--,2013,+6%,"$11,967"
29782092,--,2012,+5.8%,"$11,294"
29782092,--,2011,+0.1%,"$10,672"
29782092,--,2010,+1%,"$10,657"
29782092,--,2009,+5.8%,"$10,552"
29782092,--,2008,+6%,"$9,973"
29782092,--,2007,+5.8%,"$9,412"
29782092,--,2006,+0.1%,"$8,894"
29782092,--,2005,+1%,"$8,881"
29782092,--,2004,+5.8%,"$8,794"
29782092,--,2003,+6%,"$8,311"
29782092,--,2002,+5.8%,"$7,844"
29782092,--,2001,+0.1%,"$7,412"
29782092,--,2000,--,"$7,401"
29781952,"$2,513",2017,+5.9%,"$12,330"
29781952,"$2,328",2015,+1.1%,"$11,643"
29781952,"$1,403",2014,+6%,"$11,520"
29781952,--,2013,+5.8%,"$10,872"
29781952,--,2012,+5.9%,"$10,275"
29781952,--,2011,--,"$9,703"
29781952,--,2010,+1.1%,"$9,703"
29781952,--,2009,+6%,"$9,600"
29781952,--,2008,+5.8%,"$9,060"
29781952,--,2007,+5.9%,"$8,563"
29781952,--,2006,--,"$8,086"
29781952,--,2005,+1.1%,"$8,086"
29781952,--,2004,+6%,"$8,000"
29781952,--,2003,+5.8%,"$7,550"
29781952,--,2002,+5.9%,"$7,136"
29781952,--,2001,--,"$6,739"
29781952,--,2000,--,"$6,739"
